	user_id	gender	gender_confidence	race	race_confidence	age_value	age_range	smiling	category	position	url	gig_categories	languages	overall_rating	num_reviews	num_projects	country	user_level	avg_response	verified-e_mail	verified_twitter	verified_googleplus	verified_facebook	verified_linkdin	member_since	recent_delivery	profile_image_url	gig_subcategories	about	position_on_screen_high_rating	position_on_screen_recommended	position_on_screen_new
79	raqueldelemos	Female	99.9877	White	42.1189	16	5	88.5138	Diet & Weight Loss	seller	https://cdnil1.fiverrcdn.com/photos/3892465/original/2015-05-23_13.37.30.jpg?1434190662	business;writing-translation;online-marketing;lifestyle;graphics-design;	English;Portuguese;	5.0	34	8	United States	Level 2 Seller	4 Hrs.	True	False	True	True	False	2014-10-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/3892465/original/2015-05-23_13.37.30.jpg?1434190662	virtual-assistant-services;articles-blogposts;social-marketing;creative-writing;makeup-styling-beauty-tips;fitness-nutrition-weight-loss;custom-fan-pages;presentations-and-infographics;	Hi! I'm Raquel, Cloud Bookkeeper, blogger and virtual assistant with over 10 years of experience. I'm ready to be your partner in productivity. Need help with marketing, writing or social media? Well, I'm your gal! Get top notch work for a great price and with a nice dose of Southern Hospitality.	{}	{4172461: 416}	{}
80	seorichqueen	Female	99.9972	Asian	95.7769	20	6	15.6076	Diet & Weight Loss	seller	https://cdnil1.fiverrcdn.com/photos/7014397/original/1087303_vb.jpg?1430584022	other;lifestyle;	English;	0.0	0	3	United States		4 Hrs.	True	False	False	False	False	2015-05-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/7014397/original/1087303_vb.jpg?1430584022	;fitness-nutrition-weight-loss;relationship-advice-for-men-woman;		{}	{7304312: 65}	{}
81	gobear2015	-	-1	-	-1	-1	-1	-1	Diet & Weight Loss	seller	https://cdnil1.fiverrcdn.com/photos/9385461/original/preview_infinity_pool_dana_villas_santorini_fira.jpg?1434011318	business;music-audio;lifestyle;	English;Chinese;	0.0	0	5	Australia		3 Hrs.	True	False	False	False	False	2015-06-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/9385461/original/preview_infinity_pool_dana_villas_santorini_fira.jpg?1434011318	business-tips;music-audio-services;fitness-nutrition-weight-loss;		{}	{}	{9469622: 125}
82	junior440	Male	99.8746	White	99.8888	25	5	93.9984	Diet & Weight Loss	seller	https://cdnil0.fiverrcdn.com/photos/1772364/original/My_Picture_3.jpg?1410892672	online-marketing;lifestyle;business;other;	English;	5.0	363	16	United States	Level 2 Seller	6 Hrs.	True	False	True	True	False	2013-05-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/1772364/original/My_Picture_3.jpg?1410892672	social-marketing;fitness-nutrition-weight-loss;spiritual-healing;relationship-advice-for-men-woman;business-plans;health-fitness-tips;online-private-lessons;animal-care-pet-grooming;;	Hi everyone !  I'm an ebook lover , Im here to offer you  the best  ebook collections in every category, all collections comes with Resell Rights.	{2659528: 57}	{2659528: 485}	{}
83	cbachelor	-	-1	-	-1	-1	-1	-1	Diet & Weight Loss	buyer			English;	0	0	0	United States			True	False	False	False	False	2015-04-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/1772364/original/My_Picture_3.jpg?1410892672			{}	{}	{}
84	kathyhogan	Female	98.6971	White	71.5501	35	7	82.3203	Diet & Weight Loss	buyer	https://cdnil1.fiverrcdn.com/photos/7887254/original/11069945_1588199131426763_8780606023891117399_n.jpg?1432039263		English;	0	0	0	United States			True	False	False	True	False	2015-05-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/1772364/original/My_Picture_3.jpg?1410892672			{}	{}	{}
85	yifeng79e	-	-1	-	-1	-1	-1	-1	Diet & Weight Loss	buyer		online-marketing;	English;	0	0	1	Singapore		1 Hrs.	True	False	False	False	False	2014-01-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/1772364/original/My_Picture_3.jpg?1410892672	website-traffic;		{}	{}	{}
86	kmoffat	-	-1	-	-1	-1	-1	-1	Diet & Weight Loss	buyer			English;	0	0	0	United Kingdom			True	False	False	False	False	2015-05-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/1772364/original/My_Picture_3.jpg?1410892672			{}	{}	{}
87	koenvercoutere	-	-1	-	-1	-1	-1	-1	Diet & Weight Loss	buyer			English;	0	0	0	Belgium		1 Hrs.	True	False	True	False	False	2015-04-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/1772364/original/My_Picture_3.jpg?1410892672			{}	{}	{}
88	supergus	-	-1	-	-1	-1	-1	-1	Diet & Weight Loss	buyer			English;	0	0	0	Australia			True	False	False	False	False	2014-10-01 00:00:00		https://cdnil0.fiverrcdn.com/photos/1772364/original/My_Picture_3.jpg?1410892672			{}	{}	{}
