	user_id	gender	gender_confidence	race	race_confidence	age_value	age_range	smiling	category	position	url	gig_categories	languages	overall_rating	num_reviews	num_projects	country	user_level	avg_response	verified-e_mail	verified_twitter	verified_googleplus	verified_facebook	verified_linkdin	member_since	recent_delivery	profile_image_url	gig_subcategories	about	position_on_screen_high_rating	position_on_screen_recommended	position_on_screen_new
548	cae2015	-	-1	-	-1	-1	-1	-1	Databases	buyer			English;	0	0	0	United States			True	False	False	False	False	2015-03-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/1887183/original/Photo-0091.jpg?1388659403			{}	{}	{}
549	crispy04	-	-1	-	-1	-1	-1	-1	Databases	buyer				0	0	0	United States			True	False	False	False	False	2012-12-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/1887183/original/Photo-0091.jpg?1388659403			{}	{}	{}
550	saharmog	-	-1	-	-1	-1	-1	-1	Databases	buyer			English;	0	0	0	United States			True	False	False	False	False	2014-09-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/1887183/original/Photo-0091.jpg?1388659403			{}	{}	{}
551	dancehall	-	-1	-	-1	-1	-1	-1	Databases	buyer			English;	0	0	0	Jamaica			True	False	False	False	False	2011-11-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/1887183/original/Photo-0091.jpg?1388659403			{}	{}	{}
552	skbiz2014	-	-1	-	-1	-1	-1	-1	Databases	buyer			English;	0	0	0	United States			True	False	False	False	False	2014-02-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/1887183/original/Photo-0091.jpg?1388659403		Hi i am Sammy an entrepreneur and a college student. I own a small import/export business and i mainly focus on specific niche of products. I will use fiverr to market, design a banner etc for my online business. Hopefully will be a great experience. Looking forward in doing business with yall!	{}	{}	{}
553	hunterttp	Male	60.7626	White	99.1359	20	8	42.0275	Databases	buyer	https://cdnil0.fiverrcdn.com/photos/4024698/original/10268710_10201970577887908_2865576190014496248_n.jpg?1426040698		English;	0	0	0	United States			True	False	False	True	False	2014-11-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/1887183/original/Photo-0091.jpg?1388659403		My name is Hunter Ellis. I am a college student majoring in Computer Information Technology and currently work full time as a POS Systems Manager. I'm on Fiverr to make a little extra money to pay for my textbooks.	{}	{}	{}
554	tkscardino	-	-1	-	-1	-1	-1	-1	Databases	buyer	https://cdnil1.fiverrcdn.com/photos/3492332/original/TKS.jpg?1425964839		English;	0	0	0	United States			True	False	False	False	False	2014-08-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/1887183/original/Photo-0091.jpg?1388659403			{}	{}	{}
555	mixedbyrome	Male	99.9238	Black	93.4058	37	10	44.8162	Databases	buyer	https://cdnil0.fiverrcdn.com/photos/4655704/original/Roman_Shine.jpg?1425246256		English;German;	0	0	0	Germany		N/A	True	False	False	False	False	2015-02-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/1887183/original/Photo-0091.jpg?1388659403		I am a producer and mixing engineer that has worked in the music industry and business in Los Angeles California. I have worked with and engineered for Jonn Hart along with producers who have credits with Katy Perry, Rhianna, Justin Bieber, Kci & Jojo, etc.	{}	{}	{}
556	steakman	Male	99.9992	White	97.9239	29	10	78.7398	Databases	buyer	https://cdnil0.fiverrcdn.com/photos/4181710/original/as.jpg?1417988126		English;	0	0	0	United Kingdom			True	False	False	False	False	2014-12-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/1887183/original/Photo-0091.jpg?1388659403			{}	{}	{}
557	jackihudnall	-	-1	-	-1	-1	-1	-1	Databases	buyer			English;	0	0	0	United States			True	False	False	False	False	2013-09-01 00:00:00		https://cdnil1.fiverrcdn.com/photos/1887183/original/Photo-0091.jpg?1388659403			{}	{}	{}
